feature,coef,abs_coef
cat__ogrn_naprav_1116215001275,1.5621340445227565,1.5621340445227565
cat__ogrn_area_1037739418760,-1.5553141049578663,1.5553141049578663
cat__ogrn_naprav_1035000905719,1.554361164327875,1.554361164327875
cat__ogrn_naprav_1020202859819,1.5394876041191181,1.5394876041191181
cat__ogrn_area_1157746654141,-1.5321060279684562,1.5321060279684562
cat__ogrn_naprav_1222900007483,1.5296239616621086,1.5296239616621086
cat__ogrn_area_1023900593969,1.5291657520647182,1.5291657520647182
cat__ogrn_naprav_1021500511977,1.527150981218239,1.527150981218239
cat__variant_30136,-1.5267571915115765,1.5267571915115765
cat__ogrn_area_1036216001997,1.5260089037710862,1.5260089037710862
cat__variant_УЧ 120126,-1.5259819572033613,1.5259819572033613
cat__ogrn_naprav_1022500863285,1.5159839982692338,1.5159839982692338
cat__ogrn_area_1028600513435,1.4927342328275046,1.4927342328275046
cat__ogrn_naprav_1025401501278,1.4926926646246164,1.4926926646246164
cat__ogrn_area_1022500862966,1.4920958001165912,1.4920958001165912
cat__ogrn_naprav_1027200837762,1.4875818689626008,1.4875818689626008
cat__ogrn_naprav_1025403909893,1.4865053767241756,1.4865053767241756
cat__ogrn_area_1141513005160,1.482016118763597,1.482016118763597
cat__ogrn_area_1025900905623,1.4691157732553903,1.4691157732553903
cat__variant_80405,1.4590305507824008,1.4590305507824008
cat__ogrn_area_1027200812980,1.4551623122011739,1.4551623122011739
cat__ogrn_area_1023405165233,1.4324583509239601,1.4324583509239601
cat__variant_120809,-1.4291614894992648,1.4291614894992648
cat__ogrn_naprav_1026602233085,1.427961354405513,1.427961354405513
cat__ogrn_area_1037200556436,-1.4277475476814914,1.4277475476814914
cat__ogrn_area_1026602232876,1.4262536365762142,1.4262536365762142
cat__ogrn_area_1027103070983,1.4132288797677552,1.4132288797677552
cat__ogrn_area_1022601617290,-1.4125411386960973,1.4125411386960973
cat__ogrn_area_1040900957360,1.4091053640692028,1.4091053640692028
cat__ogrn_area_1030203723110,-1.3973051337219111,1.3973051337219111
cat__ogrn_naprav_1020202396389,-1.3879888543292136,1.3879888543292136
cat__variant_30135,-1.3714548200745298,1.3714548200745298
cat__ogrn_naprav_1026602319402,1.3646963207298648,1.3646963207298648
cat__ogrn_naprav_1022402060218,1.363558374059305,1.363558374059305
cat__ogrn_area_1072645000746,1.357807839467169,1.357807839467169
cat__ogrn_naprav_1026602956533,-1.355649462114103,1.355649462114103
cat__ogrn_naprav_1026402677718,1.3533031898134569,1.3533031898134569
cat__variant_120409,-1.351309189828867,1.351309189828867
cat__ogrn_area_1027100687085,1.3431095261707222,1.3431095261707222
cat__ogrn_naprav_1177700003920,1.342676608107105,1.342676608107105
cat__ogrn_naprav_1024000538451,1.3399944330306641,1.3399944330306641
cat__variant_40301,1.3185998630029612,1.3185998630029612
cat__ogrn_area_1027739814178,1.298005600199474,1.298005600199474
cat__ogrn_area_1033303200270,-1.2778184558133805,1.2778184558133805
cat__ogrn_naprav_1034700562555,1.2770639258367888,1.2770639258367888
cat__variant_10130,1.270899829335472,1.270899829335472
cat__variant_110122,1.2708253843722914,1.2708253843722914
cat__variant_80905,1.2689083212973922,1.2689083212973922
cat__ogrn_area_1027201298079,-1.2603782126691885,1.2603782126691885
cat__ogrn_area_1027102671661,1.2543945996692878,1.2543945996692878
cat__variant_УЧ 020134,-1.2517988645034854,1.2517988645034854
cat__variant_727.120609,-1.2517189351581532,1.2517189351581532
cat__ogrn_area_1227200015305,-1.2496555773118014,1.2496555773118014
cat__ogrn_area_1023301253249,-1.2469671042193444,1.2469671042193444
cat__ogrn_naprav_1210500008696,-1.2437919638136679,1.2437919638136679
cat__ogrn_naprav_1037851014233,1.237410934648309,1.237410934648309
"cat__variant_УЧ 010710,ПЧ 010710",1.2368370699705487,1.2368370699705487
cat__variant_110508,1.2347143124383873,1.2347143124383873
"cat__variant_УЧ 120309,ПЧ 120309",-1.2222537242934384,1.2222537242934384
